User,Activity,timestamp,timeIntervalSince1970,x,y,z
Luca,D,2020-05-05 15:19:20.091 +0000,1588691960,-0.548264,-0.846909,-0.051514
Luca,D,2020-05-05 15:19:20.101 +0000,1588691960,-0.543442,-0.860992,-0.057861
Luca,D,2020-05-05 15:19:20.111 +0000,1588691960,-0.53241,-0.870239,-0.057739
Luca,D,2020-05-05 15:19:20.121 +0000,1588691960,-0.513687,-0.871231,-0.052643
Luca,D,2020-05-05 15:19:20.131 +0000,1588691960,-0.492538,-0.865814,-0.04599
Luca,D,2020-05-05 15:19:20.141 +0000,1588691960,-0.479767,-0.854111,-0.041977
Luca,D,2020-05-05 15:19:20.151 +0000,1588691960,-0.477814,-0.834793,-0.038956
Luca,D,2020-05-05 15:19:20.161 +0000,1588691960,-0.48259,-0.81665,-0.037781
Luca,D,2020-05-05 15:19:20.171 +0000,1588691960,-0.494308,-0.805389,-0.041397
Luca,D,2020-05-05 15:19:20.181 +0000,1588691960,-0.513489,-0.806137,-0.04245
Luca,D,2020-05-05 15:19:20.191 +0000,1588691960,-0.536987,-0.811386,-0.04187
Luca,D,2020-05-05 15:19:20.201 +0000,1588691960,-0.555008,-0.817123,-0.040131
Luca,D,2020-05-05 15:19:20.211 +0000,1588691960,-0.556137,-0.821762,-0.032547
Luca,D,2020-05-05 15:19:20.221 +0000,1588691960,-0.5504,-0.824936,-0.024048
Luca,D,2020-05-05 15:19:20.231 +0000,1588691960,-0.543671,-0.831863,-0.022614
Luca,D,2020-05-05 15:19:20.241 +0000,1588691960,-0.535339,-0.845398,-0.025574
Luca,D,2020-05-05 15:19:20.251 +0000,1588691960,-0.530365,-0.861969,-0.032394
Luca,D,2020-05-05 15:19:20.261 +0000,1588691960,-0.529358,-0.880951,-0.047165
Luca,D,2020-05-05 15:19:20.271 +0000,1588691960,-0.530411,-0.893982,-0.055954
Luca,D,2020-05-05 15:19:20.281 +0000,1588691960,-0.534088,-0.894913,-0.058273
Luca,D,2020-05-05 15:19:20.291 +0000,1588691960,-0.536102,-0.884705,-0.057175
Luca,D,2020-05-05 15:19:20.301 +0000,1588691960,-0.53569,-0.873581,-0.051346
Luca,D,2020-05-05 15:19:20.311 +0000,1588691960,-0.535309,-0.867462,-0.042267
Luca,D,2020-05-05 15:19:20.321 +0000,1588691960,-0.533737,-0.865082,-0.033554
Luca,D,2020-05-05 15:19:20.331 +0000,1588691960,-0.534958,-0.863861,-0.027618
Luca,D,2020-05-05 15:19:20.341 +0000,1588691960,-0.538223,-0.859085,-0.021484
Luca,D,2020-05-05 15:19:20.351 +0000,1588691960,-0.539413,-0.855865,-0.016693
Luca,D,2020-05-05 15:19:20.361 +0000,1588691960,-0.54039,-0.854233,-0.014618
Luca,D,2020-05-05 15:19:20.371 +0000,1588691960,-0.540558,-0.851608,-0.017685
Luca,D,2020-05-05 15:19:20.381 +0000,1588691960,-0.535995,-0.848999,-0.027191
Luca,D,2020-05-05 15:19:20.391 +0000,1588691960,-0.533203,-0.846313,-0.032684
Luca,D,2020-05-05 15:19:20.401 +0000,1588691960,-0.535934,-0.842178,-0.032211
Luca,D,2020-05-05 15:19:20.411 +0000,1588691960,-0.541077,-0.83667,-0.028061
Luca,D,2020-05-05 15:19:20.421 +0000,1588691960,-0.544098,-0.833893,-0.022614
Luca,D,2020-05-05 15:19:20.431 +0000,1588691960,-0.547211,-0.834961,-0.020905
Luca,D,2020-05-05 15:19:20.441 +0000,1588691960,-0.54953,-0.839859,-0.025543
Luca,D,2020-05-05 15:19:20.451 +0000,1588691960,-0.553299,-0.843994,-0.031815
Luca,D,2020-05-05 15:19:20.461 +0000,1588691960,-0.555511,-0.8423,-0.036758
Luca,D,2020-05-05 15:19:20.471 +0000,1588691960,-0.55571,-0.833038,-0.038635
Luca,D,2020-05-05 15:19:20.481 +0000,1588691960,-0.555527,-0.82608,-0.041321
Luca,D,2020-05-05 15:19:20.491 +0000,1588691960,-0.554276,-0.825439,-0.048386
Luca,D,2020-05-05 15:19:20.501 +0000,1588691961,-0.553345,-0.82637,-0.055771
Luca,D,2020-05-05 15:19:20.511 +0000,1588691961,-0.554337,-0.829575,-0.062042
Luca,D,2020-05-05 15:19:20.521 +0000,1588691961,-0.557861,-0.830475,-0.064713
Luca,D,2020-05-05 15:19:20.531 +0000,1588691961,-0.564407,-0.829758,-0.063385
Luca,D,2020-05-05 15:19:20.541 +0000,1588691961,-0.572174,-0.834137,-0.061798
